Vivado Simulator 2017.2
Time resolution is 1 ps
Block Memory Generator module tb_gtx3g_bert_axi_v1_0.axi_ad9286_ctrl_v0_1_inst_1.gtx3g_bert_axi_v1_0_S00_AXI_inst.async_dual_port_bram_inst_1.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 35337421, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35344087, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35497405, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35504071, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35657389, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35664055, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35817373, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35824039, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35977357, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 35984023, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36137341, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36144007, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36297325, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36303991, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36457309, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36463975, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36617293, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36623959, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36777277, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36783943, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36937261, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36943927, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 37097245, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 37103911, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 37257229, A write address: 0, B  read address: 0
